time,open,high,low,close,EMA,Volume,K,D,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2025-08-31T22:45:00-05:00,107557.19,107637.69,107460,107488.32,107578.7533,25.46700034,29.38022956,32.13643951,39.83767491,37.54460418,NaN,NaN,NaN,NaN
2025-08-31T22:50:00-05:00,107488.32,107581.29,107432.37,107581.29,107579.0704,8.74573553,NaN,NaN,44.9468116,38.38524644,NaN,NaN,NaN,NaN
2025-08-31T22:55:00-05:00,107581.29,107722.69,107572.51,107646.69,107587.5228,10.54680784,44.58316422,34.6844314,48.27453279,39.6602605,NaN,NaN,NaN,NaN
2025-08-31T23:00:00-05:00,107646.68,107646.68,107560.2,107578.54,107586.4,8.46716528,NaN,NaN,45.20796738,40.13743229,NaN,NaN,NaN,NaN
2025-08-31T23:05:00-05:00,107578.54,107713.19,107500,107713.19,107602.2487,9.85781376,68.60355061,47.5223148,51.73203328,41.02269547,NaN,NaN,NaN,NaN
2025-08-31T23:10:00-05:00,107709.38,107769.77,107674.08,107724.98,107617.5901,13.40265786,NaN,NaN,52.26795712,41.71747668,NaN,NaN,NaN,NaN
2025-08-31T23:15:00-05:00,107724.98,107740.71,107602.34,107610.83,107616.7451,7.12227664,85.26634955,66.15102146,46.8447992,42.12905044,NaN,NaN,NaN,NaN
2025-08-31T23:20:00-05:00,107610.82,107610.82,107372.11,107401.34,107589.8195,9.69086733,NaN,NaN,38.87329707,42.27243473,NaN,NaN,NaN,NaN
2025-08-31T23:25:00-05:00,107398.27,107553.63,107320,107470.52,107574.907,26.05400123,78.85274116,77.57421377,42.36143681,42.67837261,NaN,NaN,NaN,NaN
2025-08-31T23:30:00-05:00,107470.51,107470.51,107296.68,107342.75,107545.8874,18.53511673,NaN,NaN,38.04349904,42.93404263,NaN,NaN,NaN,NaN
2025-08-31T23:35:00-05:00,107344.4,107382.06,107274.13,107368.89,107523.7627,11.37467442,59.0286258,74.38257217,39.40434373,43.09044541,NaN,NaN,NaN,NaN
2025-08-31T23:40:00-05:00,107368.88,107413.41,107292.68,107299.23,107495.6961,14.0029849,NaN,NaN,37.06776383,43.27064156,NaN,NaN,NaN,NaN
2025-08-31T23:45:00-05:00,107304.42,107372.32,107250,107342.49,107476.5454,20.01770364,44.42826758,60.76987818,39.46829406,43.34889902,NaN,NaN,NaN,NaN
2025-08-31T23:50:00-05:00,107342.95,107460.71,107319.21,107459.09,107474.3635,6.75725548,NaN,NaN,45.50233972,43.55948218,NaN,NaN,NaN,NaN
2025-08-31T23:55:00-05:00,107459.09,107462.13,107347.27,107408.08,107466.078,8.64018401,44.95302932,49.46997423,43.46121744,43.81830665,NaN,NaN,NaN,NaN
2025-09-01T00:00:00-05:00,107408.09,107536.55,107349.03,107527.18,107473.7158,7.53850095,NaN,NaN,49.19193579,44.1215298,NaN,NaN,NaN,NaN
2025-09-01T00:05:00-05:00,107527.17,107717.58,107292.4,107335.86,107456.4838,18.69859897,38.37281672,42.58470454,41.85315224,43.66285976,NaN,NaN,NaN,NaN
2025-09-01T00:10:00-05:00,107335.87,107387.22,107258.97,107360.08,107444.4333,8.34199976,NaN,NaN,43.012224,43.50602095,NaN,NaN,NaN,NaN
2025-09-01T00:15:00-05:00,107360.08,107380.92,107250,107305.5,107427.0667,11.68506101,30.63964562,37.98849722,41.02748624,42.74141045,NaN,NaN,NaN,NaN
2025-09-01T00:20:00-05:00,107309.04,107732.59,107309.04,107675.57,107458.1296,26.46023939,NaN,NaN,55.88977101,43.00011144,NaN,NaN,NaN,NaN
2025-09-01T00:25:00-05:00,107675.45,107714,107647.85,107714,107490.1134,13.60030661,44.70884604,37.90710279,57.0989079,43.73254778,NaN,NaN,NaN,NaN
2025-09-01T00:30:00-05:00,107714,107736.94,107650.01,107691.57,107515.2955,6.73929814,NaN,NaN,56.13176985,44.96529583,NaN,NaN,NaN,NaN
2025-09-01T00:35:00-05:00,107693.39,107960.11,107678,107960.11,107570.8973,11.96044342,71.11317399,48.82055522,63.99480518,46.51053643,NaN,NaN,NaN,NaN
2025-09-01T00:40:00-05:00,107960.11,107986.31,107871.8,107938,107616.7851,15.02130499,NaN,NaN,62.99365016,48.29269008,NaN,NaN,NaN,NaN
2025-09-01T00:45:00-05:00,107938,107964.58,107837.37,107849.95,107645.9307,6.17924343,95.23469971,70.35223992,59.03291214,49.69473068,NaN,NaN,NaN,NaN
2025-09-01T00:50:00-05:00,107849.95,107950,107821.62,107862.48,107672.9994,3.68277412,NaN,NaN,59.42389355,51.29159709,NaN,NaN,NaN,NaN
2025-09-01T00:55:00-05:00,107862.48,107901.6,107846.89,107856.54,107695.942,4.61235126,90.66916267,85.67234546,59.1357617,52.69641621,NaN,NaN,NaN,NaN
2025-09-01T01:00:00-05:00,107856.54,107904.57,107669.78,107670.27,107692.733,9.08468839,NaN,NaN,50.81499734,53.07589175,NaN,NaN,NaN,NaN
2025-09-01T01:05:00-05:00,107670.26,107723.86,107588.43,107719.08,107696.0263,10.33526419,79.92369562,88.609186,52.69338605,53.73533237,NaN,NaN,NaN,NaN
